taxon_id	species_name	rank	total_reads	hits_vs_cjejuni	hit_rate_%	avg_pident_%	max_pident_%	avg_query_coverage_%	avg_bitscore	min_evalue
194	Campylobacter	G	52349	204698	391.0	99.6	100.0	99.4	242.1	1.14e-76
197	Campylobacter jejuni	S	3482	8678	249.2	98.3	100.0	99.0	240.4	1.14e-76
213849	Campylobacterales	O	256	1064	415.6	99.8	100.0	99.9	192.6	1.00e-66
2	Bacteria	D	349	487	139.5	89.0	100.0	91.7	148.5	2.49e-68
135621	Pseudomonadaceae	F	103	414	401.9	83.0	93.9	57.2	61.1	9.55e-23
1236	Gammaproteobacteria	C	123	309	251.2	80.9	86.7	71.7	73.3	3.39e-32
32022	Campylobacter jejuni subsp. jejuni	S1	86	282	327.9	99.0	100.0	99.8	255.8	1.14e-76
2267891	Campylobacter novaezeelandiae	S	62	267	430.6	93.2	100.0	85.2	197.5	1.14e-76
265	Paracoccus	G	125	243	194.4	86.0	93.8	54.0	75.1	1.22e-31
195	Campylobacter coli	S	87	225	258.6	98.7	100.0	97.7	249.7	1.14e-76
28211	Alphaproteobacteria	C	71	198	278.9	83.4	84.8	97.4	131.3	4.35e-36
522484	Campylobacter avium LMG 24591	S1	33	194	587.9	98.9	100.0	99.9	228.0	5.20e-75
1032242	Campylobacter sp. RM10537	S	35	186	531.4	98.4	100.0	99.8	238.8	1.14e-76
31989	Paracoccaceae	F	40	168	420.0	83.5	91.0	88.7	112.7	8.78e-33
1945662	Paracoccus contaminans	S	23	132	573.9	78.1	78.4	94.3	89.7	1.60e-20
28898	Campylobacter helveticus	S	27	127	470.4	98.7	100.0	99.8	250.8	1.14e-76
1760	Actinomycetes	C	63	123	195.2	85.5	88.5	48.0	75.2	8.98e-28
72000	Kocuria rhizophila	S	55	108	196.4	78.4	79.5	63.9	59.1	1.62e-10
497724	Campylobacter subantarcticus	S	17	102	600.0	98.0	100.0	99.2	246.7	1.14e-76
1716	Corynebacterium	G	66	102	154.5	76.1	76.4	98.4	77.1	4.48e-16
468	Moraxellaceae	F	15	90	600.0	88.4	90.5	85.4	151.5	2.58e-43
475	Moraxella	G	120	90	75.0	82.3	89.0	83.7	97.0	2.62e-33
1224	Pseudomonadota	P	196	90	45.9	80.4	83.3	61.2	59.4	3.48e-12
2593542	unclassified Campylobacter	G1	23	83	360.9	95.5	100.0	80.5	191.7	1.14e-76
1813019	Campylobacter hepaticus	S	39	79	202.6	98.9	100.0	99.2	247.1	1.14e-76
824	Campylobacter gracilis	S	13	78	600.0	98.9	100.0	99.9	232.3	5.32e-75
204455	Rhodobacterales	O	50	78	156.0	87.3	91.0	49.7	60.4	2.05e-24
1301	Streptococcus	G	93	76	81.7	81.8	83.7	90.2	86.9	9.55e-23
1783272	Terrabacteria group	D1	20	72	360.0	82.3	84.8	65.6	72.7	1.69e-14
2760307	Paracoccus sp. MC1862	S	40	60	150.0	88.3	93.8	32.9	53.8	5.83e-10
488545	Campylobacter lari subsp. concheus	S1	27	59	218.5	97.4	100.0	97.5	235.9	1.14e-76
2505970	Campylobacter armoricus	S	27	54	200.0	99.9	100.0	100.0	274.3	1.14e-76
119045	Methylobacteriaceae	F	9	51	566.7	77.4	78.3	88.7	79.5	2.67e-18
2633022	unclassified Leptotrichia	G1	8	48	600.0	79.4	81.1	87.6	93.8	4.44e-21
2572050	Campylobacter sp. CFSAN093246	S	22	44	200.0	99.7	100.0	99.6	260.2	1.14e-76
1655500	Campylobacter vulpis	S	21	42	200.0	100.0	100.0	99.8	278.5	1.14e-76
33011	Cutibacterium granulosum	S	16	42	262.5	84.2	89.2	80.8	110.3	9.49e-28
2588536	Candidatus Methylopumilus universalis	S	20	39	195.0	79.0	81.4	84.8	87.4	7.44e-19
59732	Chryseobacterium	G	6	36	600.0	75.9	75.9	83.1	54.7	6.34e-09
2057025	Spirosoma pollinicola	S	6	33	550.0	83.5	83.6	36.4	50.5	9.76e-08
1448857	Campylobacter corcagiensis	S	16	32	200.0	97.3	97.4	100.0	256.7	5.36e-70
3031852	Epsilonproteobacteria	C	5	30	600.0	99.2	100.0	100.0	103.9	1.50e-26
374106	Campylobacter cuniculorum	S	11	30	272.7	98.9	100.0	100.0	268.1	1.14e-76
356	Hyphomicrobiales	O	5	30	600.0	77.7	77.7	90.6	73.7	1.37e-15
683082	Campylobacter jejuni subsp. jejuni 1336	S2	14	28	200.0	98.6	100.0	100.0	255.1	1.14e-76
1660078	Campylobacter sp. RM5004	S	4	24	600.0	98.0	100.0	99.7	247.2	1.14e-76
135740	Paracoccus kondratievae	S	4	24	600.0	97.8	97.8	35.4	80.5	1.05e-16
260714	Campylobacter insulaenigrae	S	5	18	360.0	98.0	100.0	99.9	255.6	1.14e-76
2714939	Nocardioides sp. HDW12B	S	3	18	600.0	88.3	93.5	39.7	64.8	3.46e-17
28216	Betaproteobacteria	C	4	18	450.0	82.7	92.4	79.5	89.7	3.39e-32
28080	Campylobacter upsaliensis	S	8	16	200.0	98.9	100.0	100.0	269.3	1.14e-76
