Sample	Campylobacter jejuni	Cutibacterium acnes	Sphingomonas paucimobilis	Acinetobacter baumannii	Streptomyces sp. T12	Moraxella osloensis	Acidovorax temperans	Staphylococcus saccharolyticus	Campylobacter coli	Stutzerimonas stutzeri	Acinetobacter johnsonii	Stenotrophomonas maltophilia	Acinetobacter junii	Clostridium tetani	Pantoea agglomerans	Campylobacter hepaticus	Paracoccus marcusii	Campylobacter sp. RM10537	Staphylococcus pasteuri	Campylobacter novaezeelandiae	Cloacibacterium caeni	Campylobacter lari	Comamonas thiooxydans	Kocuria rhizophila	Gardnerella swidsinskii	Rhizobium sp. BT-175	Staphylococcus epidermidis	Campylobacter armoricus	Prevotella bivia	Rothia mucilaginosa	Acinetobacter lwoffii	Micrococcus luteus	Streptococcus mitis	Streptococcus thermophilus	Campylobacter helveticus	Xanthomonas campestris	Mycobacteroides chelonae	Massilia sp. NP310	Campylobacter subantarcticus	Haemophilus parainfluenzae	Janibacter indicus	Cutibacterium granulosum	Campylobacter avium	Staphylococcus warneri	Bacillus cereus	Proteus mirabilis	Paracoccus sp. AK26	Campylobacter gracilis	Staphylococcus capitis	Klebsiella pneumoniae	Paracoccus sanguinis	Brevundimonas sp. PAMC22021	Campylobacter cuniculorum	Paenibacillus naphthalenovorans	Streptococcus oralis	uncultured Acetobacteroides sp.	Moraxella sp. DOX410	Staphylococcus hominis	Epilithonimonas vandammei	Finegoldia magna	Campylobacter vulpis	Paracoccus sp. Arc7-R13	Campylobacter insulaenigrae	Pseudomonas oryzihabitans	Paracoccus sp. MC1862	Janibacter sp. CX7	Lawsonella clevelandensis	Blastococcus sp. PRF04-17	Methylorubrum extorquens	Paracoccus yeei	Campylobacter sp. RM16187	Campylobacter sp. CFSAN093246	Massilia oculi	Streptococcus pneumoniae	Staphylococcus pettenkoferi	Pseudomonas sp. CIP-10	Gardnerella vaginalis	Corynebacterium tuberculostearicum	Diaphorobacter sp. ED-3	Rothia aeria	Chryseobacterium manosquense	Prevotella intermedia	Cruoricaptor ignavus	Paracidovorax avenae	Streptococcus sp. 116-D4	Streptococcus salivarius	Corynebacterium accolens	Granulicatella adiacens	Granulicatella elegans	Acinetobacter radioresistens	Hydrogenophaga sp. NH-16	Cloacibacterium normanense	Halomonas sp. JS92-SW72	Lelliottia amnigena	Kocuria palustris	Gardnerella leopoldii	Bacillus velezensis	Sphingobium yanoikuyae	Lactobacillus iners	Staphylococcus saprophyticus	Diaphorobacter limosus	Xanthomonas albilineans	Alicycliphilus denitrificans	Campylobacter fetus	Buchnera aphidicola	Neisseria mucosa	Candidatus Ornithobacterium hominis	Paracoccus contaminans	Psychrobacter sanguinis	Cutibacterium modestum	Paracoccus jeotgali	Aerococcus urinaeequi	Enterobacter sp. T2	Brachybacterium sp. GPGPB12	Brevibacterium casei	Streptococcus sp. LPB0220	Actinomyces massiliensis	Neisseria subflava	Schaalia odontolytica	Micrococcus terreus	Micrococcus lylae	Novosphingobium sp. EMRT-2	Microbacterium aurum	Corynebacterium kefirresidentii	Erwinia billingiae	Acidovorax sp. FHTAMBA	Neisseria sp. oral taxon 014	Isoalcanivorax pacificus	Streptococcus sp. FDAARGOS_192	Flavobacterium channae	Pseudomonas oleovorans	Azospira sp. I09	Peptonophilus genitalis	Halomonas sp. NyZ770	Bradyrhizobium sp. SK17	Thiobacillus sp.	Streptococcus infantis	Ralstonia sp. RRA.1	Cloacibacterium sp. TD35	Streptococcus toyakuensis	Prevotella nigrescens	Gardnerella piotii	Sphingomonas koreensis	Actinomyces oris	Acinetobacter haemolyticus	Candidatus Mycosynbacter amalyticus	Chryseobacterium sp. SNU WT5	Campylobacter sp. RM16704	Chryseobacterium taklimakanense	uncultured Brevundimonas sp.	Priestia megaterium	Pseudomonas alcaligenes	Corynebacterium variabile	Acidovorax sp. KKS102	Candidatus Phytoplasma rubi	Rothia dentocariosa	Novosphingobium resinovorum	Prevotella melaninogenica	Acinetobacter sp. NEB 394	Sphingomonas hankookensis
B_0h_1_1	0.0200	0.3800	0.0500	0.0000	0.0000	0.0200	0.0100	0.0100	0.0000	0.0100	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0100	0.0000	0.0100	0.0000	0.0000	0.0000	0.0100	0.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0100	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B_0h_1_2	0.0200	0.5500	0.0600	0.0000	0.0000	0.0300	0.0100	0.0100	0.0000	0.0100	0.0100	0.0100	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0100	0.0000	0.0000	0.0100	0.0000	0.0100	0.0000	0.0000	0.0000	0.0100	0.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0100	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0200	0.0100	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B_0h_1_3	1.6300	0.0900	0.0000	0.0000	0.0000	0.0200	0.0100	0.0100	0.0700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0300	0.0000	0.0500	0.0000	0.0400	0.0000	0.0300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0200	0.0000	0.0000	0.0000	0.0200	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B_0h_1_4	2.0000	0.1200	0.0000	0.0000	0.0000	0.0200	0.0200	0.0200	0.0700	0.0100	0.0100	0.0000	0.0000	0.0000	0.0000	0.0300	0.0100	0.0400	0.0000	0.0300	0.0000	0.0300	0.0100	0.0000	0.0100	0.0000	0.0000	0.0300	0.0000	0.0100	0.0000	0.0100	0.0000	0.0100	0.0200	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0100	0.0100	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B_0h_2_1	0.0400	0.0600	0.0700	0.0000	0.0000	0.0100	0.0100	0.0100	0.0000	0.0100	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B_0h_2_2	0.0500	0.0800	0.0700	0.0000	0.0000	0.0200	0.0100	0.0100	0.0000	0.0200	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B_0h_2_3	2.9000	0.0500	0.0000	0.0000	0.0000	0.0100	0.0100	0.0100	0.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0500	0.0000	0.0700	0.0000	0.0500	0.0000	0.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0300	0.0000	0.0000	0.0000	0.0200	0.0000	0.0000	0.0000	0.0300	0.0000	0.0000	0.0000	0.0000	0.0200	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B_0h_2_4	3.1500	0.0700	0.0000	0.0000	0.0000	0.0200	0.0100	0.0200	0.1200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0500	0.0000	0.0400	0.0000	0.0300	0.0000	0.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0200	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0200	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B_0h_3_1	0.1300	0.0700	0.2400	0.0000	0.0000	0.0200	0.0300	0.0200	0.0100	0.0100	0.0100	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
B_0h_3_2	0.1500	0.0900	0.2700	0.0000	0.0000	0.0200	0.0300	0.0300	0.0200	0.0100	0.0100	0.0000	0.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
